WILLIAMS INTERNATIONAL AXIAL TURBINE GEOMETRY MODEL
RADIUS    CX      CT      UGT     BETAIN  WEDGIN  RLE     BETAOUT RTE     THROAT  AREA    CGX     CGY
  5.5000  1.1020  0.5910  6.5000 35.0000  9.0000  0.0310-57.0000  0.0160  0.3370  0.1584  0.5447  0.5356
       -3.1105689605
       -2.3927664927
        4.8467890172
        1.0998994071
        0.0079250540
      -60.3094692430
        0.8010710230
        0.4691333148
      -53.8094692430
        0.0094656050
        0.6132995478
       44.0000000000
        0.0445894949
        0.5631373794
       26.0000000000
        1.0731067206
       -0.0094743521
      -53.6905307570
        1.1020000000
        0.0000000000
        1.0860000000
        0.0000000000
        0.0000000000
        0.5910000000
        0.0310000000
        0.5910000000
        0.6040330404
        0.9922396224
       -1.4017215312
       -0.0588428538
        0.5388858500
        0.6004883476
       -1.2795771328
        0.2271982648
NUMBER    SUCTION        PRESSURE
         X       Y       X       Y
   1  0.0000  0.5910  0.0000  0.5910
   2  0.0011  0.5990  0.0050  0.5742
   3  0.0021  0.6022  0.0099  0.5683
   4  0.0032  0.6046  0.0149  0.5645
   5  0.0042  0.6066  0.0198  0.5621
   6  0.0053  0.6083  0.0248  0.5606
   7  0.0063  0.6097  0.0297  0.5600
   8  0.0074  0.6111  0.0347  0.5602
   9  0.0084  0.6122  0.0396  0.5612
  10  0.0095  0.6133  0.0446  0.5631
  11  0.0490  0.6493  0.0789  0.5784
  12  0.0886  0.6809  0.1132  0.5908
  13  0.1282  0.7081  0.1474  0.6003
  14  0.1678  0.7308  0.1817  0.6071
  15  0.2074  0.7490  0.2160  0.6112
  16  0.2469  0.7627  0.2503  0.6126
  17  0.2865  0.7719  0.2846  0.6114
  18  0.3261  0.7765  0.3189  0.6076
  19  0.3657  0.7766  0.3531  0.6014
  20  0.4053  0.7720  0.3874  0.5927
  21  0.4448  0.7629  0.4217  0.5816
  22  0.4844  0.7491  0.4560  0.5682
  23  0.5240  0.7306  0.4903  0.5525
  24  0.5636  0.7075  0.5246  0.5346
  25  0.6032  0.6796  0.5588  0.5145
  26  0.6427  0.6471  0.5931  0.4923
  27  0.6823  0.6098  0.6274  0.4680
  28  0.7219  0.5677  0.6617  0.4418
  29  0.7615  0.5208  0.6960  0.4136
  30  0.8011  0.4691  0.7303  0.3835
  31  0.8310  0.4278  0.7646  0.3516
  32  0.8608  0.3856  0.7988  0.3178
  33  0.8907  0.3424  0.8331  0.2824
  34  0.9206  0.2981  0.8674  0.2453
  35  0.9505  0.2528  0.9017  0.2066
  36  0.9804  0.2064  0.9360  0.1663
  37  1.0103  0.1587  0.9703  0.1244
  38  1.0401  0.1098  1.0045  0.0812
  39  1.0700  0.0596  1.0388  0.0365
  40  1.0999  0.0079  1.0731 -0.0095
  41  1.1001  0.0075  1.0760 -0.0125
  42  1.1003  0.0071  1.0789 -0.0143
  43  1.1005  0.0067  1.0818 -0.0154
  44  1.1007  0.0062  1.0847 -0.0159
  45  1.1009  0.0057  1.0876 -0.0159
  46  1.1012  0.0051  1.0904 -0.0154
  47  1.1014  0.0044  1.0933 -0.0142
  48  1.1016  0.0036  1.0962 -0.0123
  49  1.1018  0.0026  1.0991 -0.0092
  50  1.1020  0.0000  1.1020  0.0000
